Name,Code,Citizens_Exploited,Exploits_In_Country,Citizens_Exploited_In_Country,Proportion_of_Citizens_Who_Are_Exploited_In_Country,Proportion_of_Total_Exploits_In_Country_Who_Are_Citizens,Top_Supplier,Top_Demand,Total_From_Supplier,Total_To_Demand,Proportion_Exploits_From_Top_Supplier,Proportion_of_Demand_To_Top_Demand,DTM_Stage
Togo,TGO,90,0,0,0,,nan,GAB,,54,,0.6,2
Tokelau,TKL,0,40,0,,0,nan,nan,37,,0.925,,4
Trinidad and Tobago,TTO,0,130,0,,0,IDN,nan,123,,0.9461538462,,4
Tunisia,TUN,0,250,0,,0,CIV,nan,223,,0.892,,3
Turkey,TUR,60,2160,0,0,0,nan,MDA,688,38,0.3185185185,0.6333333333,3
Turkmenistan,TKM,520,180,122,0.2346153846,0.6777777778,TKM,TUR,122,318,0.6777777778,0.6115384615,3
Uganda,UGA,710,470,245,0.3450704225,0.5212765957,UGA,UGA,245,245,0.5212765957,0.3450704225,2
Ukraine,UKR,18480,1560,391,0.02115800866,0.2506410256,nan,nan,508,8291,0.3256410256,0.4486471861,5
United Arab Emirates,ARE,20,1030,0,0,0,IDN,nan,392,20,0.3805825243,1,4
United Kingdom,GBR,50,180,0,0,0,nan,nan,89,50,0.4944444444,1,4
United States,USA,9690,65880,8648,0.8924664603,0.1312689739,nan,USA,52893,8648,0.8028688525,0.8924664603,4
Uruguay,URY,20,20,0,0,0,DOM,nan,20,20,1,1,4
Uzbekistan,UZB,2040,580,578,0.2833333333,0.9965517241,UZB,UZB,578,578,0.9965517241,0.2833333333,3
Vanuatu,VUT,0,100,0,,0,BGD,nan,98,,0.98,,3
"Venezuela, Bolivarian Republic of",VEN,140,10,0,0,0,nan,nan,10,78,1,0.5571428571,3
Viet Nam,VNM,780,100,100,0.1282051282,1,VNM,MYS,100,200,1,0.2564102564,3
Yemen,YEM,20,30,0,0,0,nan,DZA,17,20,0.5666666667,1,2
Zambia,ZMB,40,120,34,0.85,0.2833333333,COD,ZMB,58,34,0.4833333333,0.85,2
Zimbabwe,ZWE,40,0,0,0,,nan,nan,,25,,0.625,2
